shot,t_in,t_out,duration
1,0.0,1.6,1.6
2,1.6,3.2,1.6
3,3.2,4.4,1.2
4,4.4,5.8,1.4
5,5.8,9.2,3.4
6,9.2,12.0,2.8
7,12.0,13.8,1.8
8,13.8,15.6,1.8
9,15.6,19.6,4.0
10,19.6,22.8,3.2
11,22.8,26.0,3.2
12,26.0,29.4,3.4
13,29.4,32.4,3.0
14,32.4,34.4,2.0
15,34.4,37.6,3.2
16,37.6,39.2,1.6
17,39.2,42.2,3.0
18,42.2,45.2,3.0
19,45.2,47.6,2.4
20,47.6,49.0,1.4
21,49.0,50.4,1.4
22,50.4,52.4,2.0
23,52.4,54.4,2.0
24,54.4,55.6,1.2
25,55.6,56.8,1.2
26,56.8,58.4,1.6
27,58.4,62.2,3.8
28,62.2,63.4,1.2
29,63.4,66.4,3.0
30,66.4,68.8,2.4
31,68.8,70.6,1.8
32,70.6,75.2,4.6
33,75.2,76.8,1.6
34,76.8,79.0,2.2
35,79.0,82.4,3.4
36,82.4,84.2,1.8
37,84.2,85.8,1.6
38,85.8,87.2,1.4
39,87.2,88.8,1.6
40,88.8,93.0,4.2
41,93.0,96.6,3.6
42,96.6,99.4,2.8
43,99.4,102.0,2.6
44,102.0,103.6,1.6
45,103.6,108.6,5.0
46,108.6,113.0,4.4
47,113.0,114.2,1.2
48,114.2,116.0,1.8
49,116.0,118.4,2.4
50,118.4,119.6,1.2
51,119.6,121.8,2.2
52,121.8,124.0,2.2
53,124.0,129.4,5.4
54,129.4,130.6,1.2
55,130.6,135.4,4.8
56,135.4,136.6,1.2
57,136.6,141.2,4.6
58,141.2,145.8,4.6
59,145.8,147.6,1.8
60,147.6,151.6,4.0
61,151.6,154.6,3.0
62,154.6,159.381837,4.781837
